GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jtrolog,jTrolog.engine,DefaultProlog,0,205,0,0,0,42,0,1,0,1
prolobjectlink-jpi-jtrolog,jTrolog.engine,BindingsTable.Copier,73,86,10,10,13,19,8,7,2,3
prolobjectlink-jpi-jtrolog,jTrolog.engine,BindingsTable.StructListIterator,111,0,20,0,30,0,14,0,4,0
prolobjectlink-jpi-jtrolog,jTrolog.engine,LibraryAndTheoryManager,151,269,17,23,32,62,15,23,3,15
prolobjectlink-jpi-jtrolog,jTrolog.engine,Engine,181,368,17,39,31,81,14,30,3,11
prolobjectlink-jpi-jtrolog,jTrolog.engine,OperatorTable.OperatorIterator,15,115,3,10,5,28,4,9,1,3
prolobjectlink-jpi-jtrolog,jTrolog.engine,OperatorTable,0,88,2,4,0,8,2,5,0,4
prolobjectlink-jpi-jtrolog,jTrolog.engine,LinkTable,113,116,7,5,22,22,10,8,5,7
prolobjectlink-jpi-jtrolog,jTrolog.engine,Engine.StackIterator,5,27,0,2,1,6,1,4,1,3
prolobjectlink-jpi-jtrolog,jTrolog.engine,Solution,47,37,5,1,7,12,5,6,2,6
prolobjectlink-jpi-jtrolog,jTrolog.engine,GarbageCan,88,162,5,7,14,30,5,7,2,4
prolobjectlink-jpi-jtrolog,jTrolog.engine,ClauseDatabase,13,108,2,8,4,23,2,12,1,8
prolobjectlink-jpi-jtrolog,jTrolog.engine,Prolog,490,726,39,85,96,159,41,72,13,38
prolobjectlink-jpi-jtrolog,jTrolog.engine,ClauseDatabase.CompleteIterator,4,46,0,6,2,12,1,6,1,3
prolobjectlink-jpi-jtrolog,jTrolog.engine,PrimitiveInfo,19,22,0,0,1,5,1,1,1,1
prolobjectlink-jpi-jtrolog,jTrolog.engine,SolutionManager,112,115,22,12,25,28,14,8,1,4
prolobjectlink-jpi-jtrolog,jTrolog.engine,ChoicePoint,156,132,16,6,23,32,11,12,3,9
prolobjectlink-jpi-jtrolog,jTrolog.engine,BindingsTable,609,471,124,54,112,95,77,37,9,16
prolobjectlink-jpi-jtrolog,jTrolog.terms,Double,0,32,0,0,0,11,0,7,0,7
prolobjectlink-jpi-jtrolog,jTrolog.terms,Clause,0,12,0,0,0,5,0,1,0,1
prolobjectlink-jpi-jtrolog,jTrolog.terms,EvaluableTerm,0,3,0,0,0,1,0,1,0,1
prolobjectlink-jpi-jtrolog,jTrolog.terms,ListIterator,18,51,3,7,5,12,4,5,1,3
prolobjectlink-jpi-jtrolog,jTrolog.terms,Int,6,56,0,4,2,17,0,12,0,10
prolobjectlink-jpi-jtrolog,jTrolog.terms,Float,9,40,1,3,3,13,2,9,1,8
prolobjectlink-jpi-jtrolog,jTrolog.terms,WrapStruct,14,27,0,0,4,6,4,3,4,3
prolobjectlink-jpi-jtrolog,jTrolog.terms,WrapVar,46,18,7,1,6,7,9,3,5,3
prolobjectlink-jpi-jtrolog,jTrolog.terms,IteratorAsTerm,23,0,0,0,6,0,4,0,4,0
prolobjectlink-jpi-jtrolog,jTrolog.terms,Term,0,41,0,0,0,9,0,2,0,2
prolobjectlink-jpi-jtrolog,jTrolog.terms,Var,0,56,0,6,0,15,0,11,0,8
prolobjectlink-jpi-jtrolog,jTrolog.terms,StructAtom,2,89,2,16,1,19,2,12,0,5
prolobjectlink-jpi-jtrolog,jTrolog.terms,Long,12,30,1,1,4,9,2,6,1,6
prolobjectlink-jpi-jtrolog,jTrolog.terms,Struct,337,401,54,56,54,79,40,30,2,13
prolobjectlink-jpi-jtrolog,jTrolog.terms,Number,12,55,3,9,3,11,3,8,0,5
prolobjectlink-jpi-jtrolog,jTrolog.terms,Flag,16,18,2,0,6,7,5,2,4,2
prolobjectlink-jpi-jtrolog,jTrolog.terms,Wrapper.WrappedIterator,26,0,0,0,7,0,4,0,4,0
prolobjectlink-jpi-jtrolog,jTrolog.lib,BuiltIn,674,292,64,40,116,60,68,23,30,9
prolobjectlink-jpi-jtrolog,jTrolog.lib,ISOLibrary,409,95,35,1,54,42,38,3,20,3
prolobjectlink-jpi-jtrolog,jTrolog.lib,Library,1,17,0,0,1,8,1,7,1,7
prolobjectlink-jpi-jtrolog,jTrolog.lib,IOLibrary,456,50,58,2,103,13,48,4,19,3
prolobjectlink-jpi-jtrolog,jTrolog.lib,BasicLibrary,1965,410,282,68,347,75,201,38,54,10
prolobjectlink-jpi-jtrolog,jTrolog.lib,DCGLibrary,5,0,0,0,3,0,2,0,2,0
prolobjectlink-jpi-jtrolog,jTrolog.parser,Token,9,105,9,29,1,12,9,18,1,7
prolobjectlink-jpi-jtrolog,jTrolog.parser,Parser,440,816,62,114,68,165,56,53,7,14
prolobjectlink-jpi-jtrolog,jTrolog.parser,Tokenizer.PushBack,0,9,0,0,0,4,0,1,0,1
prolobjectlink-jpi-jtrolog,jTrolog.parser,TermIterator,28,58,4,8,8,17,4,6,1,3
prolobjectlink-jpi-jtrolog,jTrolog.parser,Tokenizer,312,690,77,97,52,157,54,41,1,7
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologStructure,11,178,1,9,3,31,4,14,3,10
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologFormatter,178,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologEngine,373,838,29,67,53,183,24,62,4,34
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrolog,74,207,4,10,14,41,13,26,9,23
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologAtom,6,52,3,1,0,10,2,8,0,8
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologQuery,206,642,33,67,36,141,33,36,3,16
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologCut,0,48,1,3,0,7,1,7,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologOperatorSet,11,86,6,12,4,23,5,10,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologNil,0,48,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologFail,0,48,1,3,0,7,1,7,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologFalse,0,45,1,3,0,7,1,7,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologList,159,225,15,17,24,46,13,19,2,14
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologInteger,2,84,0,0,1,14,1,13,1,13
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologDouble,2,84,0,0,1,14,1,13,1,13
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologTrue,0,45,1,3,0,7,1,7,0,6
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologList.JTrologListIter,0,47,2,4,0,9,2,4,0,3
prolobjectlink-jpi-jtrolog,io.github.prolobjectlink.prolog.jtrolog,JTrologClause,13,84,7,7,5,19,6,6,0,5
